Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,31,96752,57,N40 S10 G S31 S23 G N17 N34 G S27 S25 G N36 S21 G N08 N23 G S22+ S25 G N25 N24 G S35 S34 G S24 S35+ G S34,N17 N18 N19 N20 N06 N21 N22 N23 N24 S34 S35 S17,
Monte Carlo Tree Search,Parallel MCTS,One,Normal,31,97767,18,N20 N15 G N09 N13 G N26 N02 G S15 N05 G S13 N01 G S01 S04 G S18 N04 G S02 S03+ G S05 S19 G N04 N11+ G S05+,N11 N27 N26 S36 S37 S18 S19 S05 S04 S03 S13 S12 S11,
Monte Carlo Beeline 3,Monte Carlo Tree Search,Two,Normal,34,109521,17,N05 N22 G N27 S29 G S40 N14 G S31 N10 G N25 N37 G S18 N39 G S02 S10 G N38 N25 G N38 N11 G S11 S38 G S11 S10 G S38,,N14 N13 N12 N29 N28 S38 S37 S18 S17 S16 S15 S14
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,37,112062,17,N05 N19 G N23 N37 G S13 S28 G S37 S36 G S27 S11 G N27 N26 G S09 N21 G N10 S09+ G S10 N17 G N17 N11 G N30 N33 G N17 N12+ G S17,N26 S36 S35 S17 S16 S04 S03 S02 S10 S09 S25 S26,
Parallel MCTS Beeline,Monte Carlo Beeline 3,One,Normal,35,115360,50,S23 S34 G N19 N12 G N23 N08 G S11 N37 G S37 N28 G N08 N24 G N26 S26 G N40 S30 G N28 N17 G N17+ S03 G N35 N36 G N40 N25,S24 N34 N33 N15 N14 N13 N12 N11 N27 N26 N25 N24,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,37,115590,60,S16 S14 G S05 S04 G S28 S18 G S12 S23 G N12 S10 G N08 N22 G N06 S26 G S01 N25 G S02 N24 G N35 N05 G S02 S40 G N04 S04 G N04,N22 N21 N06 N20 N19 N05 N04 N03 N13 N14 N31 N32 S22,
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,40,120857,78,S12 S07 G S16 S05 G N35 S03 G N22 S33 G N31 N33 G S31 N16 G S32 N13 G N09 S15 G S13 N15 G S14+ N11 G S13 N12+ G N24 N11 G N03 S15 G S16,,N15 N33 N34 S24 S23 S08 S07 S01 S05 S04 S16 S15
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,18,57786,26,N25 S30 G N01 S05 G S22 N13 G N20 N21 G N39 N40+ G N20+ S36 G,,N14 N13 N03 N02 N01 N07 N06 N20 N39 N40 S30 S31 S14
Parallel MCTS,Monte Carlo Beeline 3,One,Normal,19,62679,17,N05 N29 G S24 S22 G N14 S06 G N39 N23 G S08 N33 G S12 S17 G N32+,N22 N23 N08 N07 N01 N05 N04 N16 N15 N14 N31 N32 S22,
Parallel MCTS,Parallel MCTS Beeline,One,Normal,21,67525,42,S35 S11 G S21 S07 G N08 N07 G S09 S08 G S05 S25 G N24 N09+ G N02 N33 G,N08 N09 N25 N26 S36 S37 S18 S19 S05 S01 S07 S08,
